Date,BANKINDIA,SBIN,IDBI,RELIANCE,ICICIBANK
06/01/2018,152.5,123.01,167.5,125.99,125.99
06/04/2018,152.5,122.01,166.5,124.99,125.99
06/05/2018,152.51,121.01,165.5,124.01,126
06/06/2018,152.51,121.01,165.5,124.01,126
06/07/2018,152.51,117.01,165.5,124.01,126
06/08/2018,154.49,118,166.49,124.99,126.99
06/11/2018,154.49,117,166.49,124.99,126.99
06/12/2018,154.49,116,165.49,123.99,125.99
06/13/2018,156.49,118,166.49,124.99,126.99
06/14/2018,155.49,117,165.49,123.99,125.99
06/15/2018,155.49,117,165.49,123.99,125.99
06/18/2018,154.49,117,166.49,120.49,126.49
06/19/2018,159.49,121,169.49,127.99,129.99
06/20/2018,156,119.15,165.57,125.84,127.76
06/21/2018,155.05,121.54,176.59,122.01,131.11
06/22/2018,156,120.11,165.57,124.88,127.76
06/25/2018,156,120.1,165.57,124.88,127.76
06/26/2018,159.83,122.02,169.39,126.79,129.67
06/27/2018,164.61,126.8,174.18,131.58,134.45
06/28/2018,172.26,135.42,180.87,140.19,144.02
06/29/2018,174.18,132.54,180.87,136.36,140.19